project,timestamp,ntasks,nchunks,nfound,seconds
mcs_prime_stoch_trigger,2026-06-16 21:54:51.295,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.298,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.303,36,1,36,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:51.312,96,1,96,0.008
mcs_prime_stoch_trigger,2026-06-16 21:54:51.317,10,1,10,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.327,60,1,60,0.010
mcs_prime_stoch_trigger,2026-06-16 21:54:51.335,5,1,5,0.007
mcs_prime_stoch_trigger,2026-06-17 09:54:22.672,1,1,1,0.021
mcs_prime_stoch_trigger,2026-06-17 09:54:22.735,36,1,36,0.040
mcs_prime_stoch_trigger,2026-06-17 09:54:22.776,9,1,9,0.022
mcs_prime_stoch_trigger,2026-06-17 09:54:22.807,1,1,1,0.018
mcs_prime_stoch_trigger,2026-06-17 09:54:22.856,36,1,36,0.049
mcs_prime_stoch_trigger,2026-06-17 09:54:22.872,9,1,9,0.016
mcs_prime_stoch_trigger,2026-06-17 10:35:17.431,1,1,1,0.009
mcs_prime_stoch_trigger,2026-06-17 10:35:17.474,36,1,36,0.023
mcs_prime_stoch_trigger,2026-06-17 10:35:17.495,9,1,9,0.009
mcs_prime_stoch_trigger,2026-06-17 10:35:17.512,1,1,1,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:17.526,36,1,36,0.014
mcs_prime_stoch_trigger,2026-06-17 10:35:17.534,9,1,9,0.008
mcs_prime_stoch_trigger,2026-06-17 10:35:31.248,12,1,12,0.007
mcs_prime_stoch_trigger,2026-06-17 10:35:31.258,24,1,24,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.264,36,1,36,0.005
mcs_prime_stoch_trigger,2026-06-17 10:35:31.268,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.275,84,1,84,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.282,72,1,72,0.007
mcs_prime_stoch_trigger,2026-06-17 10:35:31.289,13,1,13,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.293,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.297,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.300,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.306,72,1,72,0.005
mcs_prime_stoch_trigger,2026-06-17 10:35:31.313,36,1,36,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.317,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.321,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.326,36,1,36,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.337,96,1,96,0.010
mcs_prime_stoch_trigger,2026-06-17 10:35:31.345,10,1,10,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.358,60,1,60,0.011
mcs_prime_stoch_trigger,2026-06-17 10:35:31.368,5,1,5,0.007
mcs_prime_stoch_trigger,2026-06-17 10:35:31.376,12,1,12,0.004
